Job_ID,Month,Date,Quarter,Year,Sector,Sub_Sector,Company_Name,Job_Role,Seniority_Level,Min_Experience_Required (yrs),Max_Experience_Required (yrs),Min_Salary (INR),Max_Salary (INR),Avg_Salary (INR),Open_Positions,Applications_Received,Shortlisted_Candidates,Hiring_Percentage (%),Filled_Positions,Work_Mode,Job_Type,Skills_Required,Education_Required,Notice_Period,Interview_Rounds,Joining_Time_In_Days,City,State,Country,HR_Manager
J001,January,2025/01/03,Q1,2025,IT,Software,Infosys,Data Analyst,Entry,0,2,350000,550000,450000,10,480,30,10,10,Hybrid,Full-time,"Excel, SQL, Power BI",B.Tech,30 Days,3,45,Bengaluru,Karnataka,India,Rohan Mehta
J002,January,2025/01/08,Q1,2025,Finance,Banking,HDFC Bank,Financial Analyst,Mid,2,4,500000,800000,650000,5,320,22,8,4,Onsite,Full-time,"Excel, Finance Modelling",MBA,60 Days,4,30,Mumbai,Maharashtra,India,Priya Sharma
J003,January,2025/01/17,Q1,2025,IT,Cloud,TCS,Cloud Engineer,Entry,0,2,400000,600000,500000,8,500,25,9,8,Remote,Full-time,"AWS, Linux",B.Tech,0 Days,2,7,Pune,Maharashtra,India,Divya Bansal
J004,January,2025/01/28,Q1,2025,E-commerce,Logistics,Amazon,Delivery Manager,Mid,3,5,700000,1000000,850000,4,260,19,7,3,Hybrid,Full-time,"Leadership, Excel",BBA/MBA,30 Days,4,20,Hyderabad,Telangana,India,Abhishek Joshi
J005,February,2025/02/02,Q1,2025,IT,Cybersecurity,Wipro,Cybersecurity Analyst,Mid,2,4,600000,900000,750000,7,410,28,7,6,Remote,Full-time,"Security+, SIEM",B.Tech,0 Days,3,15,Noida,Uttar Pradesh,India,Kunal Singh
J006,February,2025/02/09,Q1,2025,Healthcare,Pharma,Cipla,Research Associate,Entry,0,1,300000,450000,375000,6,210,18,8,6,Onsite,Full-time,Lab Research,B.Sc/M.Sc,15 Days,3,20,Goa,Goa,India,Saurabh Kulkarni
J007,February,2025/02/15,Q1,2025,IT,AI,Google,ML Engineer,Senior,5,8,1600000,2500000,2050000,3,900,40,4,2,Hybrid,Full-time,"Python, ML, TensorFlow",M.Tech,90 Days,5,60,Bengaluru,Karnataka,India,Sonal Gupta
J008,February,2025/02/26,Q1,2025,IT,Software,Accenture,Backend Developer,Mid,2,4,550000,900000,725000,9,480,27,6,8,Hybrid,Full-time,"Java, APIs",B.Tech,15 Days,3,25,Gurugram,Haryana,India,Anand Kumar
J009,March,2025/03/04,Q1,2025,Retail,Fashion,Myntra,UI Designer,Mid,3,5,700000,900000,800000,4,240,20,8,3,Hybrid,Full-time,"Figma, UI Design",B.Des,30 Days,3,25,Delhi,Delhi,India,Rajeev Yadav
J010,March,2025/03/11,Q1,2025,Telecom,Network,Airtel,Network Engineer,Entry,0,2,350000,500000,425000,10,290,19,6,10,Onsite,Full-time,"Networking, CCNA",B.Tech,30 Days,3,25,Jaipur,Rajasthan,India,Arti Jain
J011,March,2025/03/19,Q1,2025,Education,EdTech,BYJU'S,Academic Counselor,Entry,0,2,350000,550000,450000,15,600,40,6,15,Onsite,Full-time,Communication,Any Graduate,7 Days,2,10,Chennai,Tamil Nadu,India,Nisha Patil
J012,March,2025/03/28,Q1,2025,IT,Support,Tech Mahindra,Support Engineer,Entry,0,2,250000,350000,300000,20,750,45,6,20,Remote,Full-time,Troubleshooting,BCA/B.Tech,0 Days,2,5,Kolkata,West Bengal,India,Sunil Rao
J013,April,2025/04/03,Q2,2025,Hospitality,Travel,OYO,Operations Executive,Entry,0,1,250000,400000,325000,12,430,24,6,12,Hybrid,Full-time,"Excel, CRM",Any Graduate,15 Days,2,10,Lucknow,Uttar Pradesh,India,Shashank Verma
J014,April,2025/04/08,Q2,2025,IT,Data,IBM,Data Engineer,Mid,3,5,900000,1300000,1100000,5,360,22,6,4,Hybrid,Full-time,"Python, SQL, ETL",B.Tech,30 Days,3,20,Bengaluru,Karnataka,India,Preeti Nair
J015,April,2025/04/16,Q2,2025,Finance,Insurance,LIC,Insurance Advisor,Entry,0,2,300000,500000,400000,25,600,35,5,25,Hybrid,Full-time,Communication,Any Graduate,7 Days,1,5,Bhopal,MP,India,Manish Gupta
J016,April,2025/04/22,Q2,2025,IT,Testing,Capgemini,QA Tester,Entry,0,2,400000,550000,475000,6,390,20,5,5,Remote,Full-time,Manual Testing,B.Tech,30 Days,2,15,Pune,Maharashtra,India,Megha Rane
J017,April,2025/04/30,Q2,2025,Manufacturing,Auto,Tata Motors,Mechanical Engineer,Mid,2,4,450000,700000,575000,7,310,18,6,6,Onsite,Full-time,"CAD, Testing",B.Tech,30 Days,3,25,Jamshedpur,Jharkhand,India,Parth Sinha
J018,May,2025/05/04,Q2,2025,IT,Web,Zoho,Frontend Developer,Entry,0,2,500000,700000,600000,8,410,23,6,8,Onsite,Full-time,"HTML, CSS, JS",B.Tech,15 Days,3,15,Chennai,Tamil Nadu,India,Lavanya R
J019,May,2025/05/12,Q2,2025,Logistics,Shipping,Maersk,Logistics Analyst,Mid,2,4,550000,750000,650000,4,280,15,5,4,Hybrid,Full-time,Supply Chain,MBA,30 Days,3,20,Mumbai,Maharashtra,India,Pooja Deshmukh
J020,May,2025/05/19,Q2,2025,IT,DevOps,Oracle,DevOps Engineer,Mid,3,5,900000,1400000,1150000,5,330,22,6,5,Hybrid,Full-time,"Docker, Kubernetes",B.Tech,60 Days,4,20,Hyderabad,Telangana,India,Hardik Shah
J021,May,2025/05/23,Q2,2025,Telecom,Network,Jio,NOC Engineer,Entry,0,2,250000,400000,325000,15,500,30,6,15,Onsite,Full-time,Networking,Diploma/B.Tech,15 Days,2,10,Surat,Gujarat,India,Jay Patel
J022,May,2025/05/28,Q2,2025,IT,CRM,Salesforce,Salesforce Admin,Mid,2,4,700000,1100000,900000,6,350,21,6,6,Remote,Full-time,Salesforce Admin,Graduate,30 Days,3,20,Pune,Maharashtra,India,Sneha Chilam
J023,May,2025/05/29,Q2,2025,Banking,FinTech,Razorpay,Risk Analyst,Entry,0,2,450000,650000,550000,5,340,17,5,5,Hybrid,Full-time,"Excel, SQL",B.Com,15 Days,3,15,Bengaluru,Karnataka,India,Rohit Bhatt
J024,June,2025/06/03,Q2,2025,IT,Security,Cisco,Security Analyst,Mid,2,4,800000,1200000,1000000,3,280,14,5,3,Remote,Full-time,"Firewalls, SIEM",B.Tech,30 Days,3,20,Delhi,Delhi,India,Sagar Paul
J025,June,2025/06/06,Q2,2025,IT,Analytics,Deloitte,Business Analyst,Mid,2,4,700000,1000000,850000,4,300,18,6,4,Hybrid,Full-time,"Excel, BI Tools",MBA,30 Days,3,20,Gurugram,Haryana,India,Aishwarya Jain