Skill_ID,Skill_Name,Skill_Category,Popularity_2024,Popularity_2025,Growth_Rate,Avg_Salary_Offered,Certifications_Required,Demand_By_Sector,Used_In_Roles
S001,Python,Technical,92,96,4,85000,Yes,"IT, AI, Finance","Data Analyst, ML Engineer"
S002,SQL,Technical,88,93,5,78000,No,"IT, Banking, Analytics","Data Analyst, Database Engineer"
S003,Power BI,Technical,84,91,7,72000,No,"Analytics, Finance","BI Analyst, Data Analyst"
S004,Excel (Advanced),Technical,90,94,4,65000,No,"Finance, Operations","Analyst, MIS Executive"
S005,Java,Technical,82,85,3,90000,Yes,"IT, Software",Backend Developer
S006,JavaScript,Technical,80,86,6,92000,No,"IT, Web Development",Frontend Developer
S007,Cloud Computing,Technical,78,89,11,115000,Yes,"IT, DevOps","Cloud Engineer, DevOps Engineer"
S008,Machine Learning,Technical,76,88,12,125000,Yes,"AI, Healthcare, Finance","ML Engineer, Data Scientist"
S009,ReactJS,Technical,70,82,12,95000,No,Web Development,Frontend Developer
S010,Cybersecurity,Technical,74,85,11,110000,Yes,"IT, Banking",Security Analyst
S011,Communication Skills,Soft Skill,95,97,2,45000,No,All Sectors,"HR, Sales, Analyst"
S012,Leadership,Soft Skill,82,86,4,70000,No,"Corporate, Management","Team Lead, Manager"
S013,Time Management,Soft Skill,88,90,2,50000,No,"HR, Operations",All Roles
S014,DevOps,Technical,72,83,11,118000,Yes,"IT, Cloud",DevOps Engineer
S015,Data Engineering,Technical,69,80,11,130000,Yes,"IT, AI",Data Engineer
S016,Tableau,Technical,78,84,6,88000,No,"Analytics, Business",BI Developer
S017,Digital Marketing,Marketing,81,87,6,60000,Yes,Marketing,"SEO Specialist, Marketing Manager"
S018,SEO,Marketing,77,84,7,55000,No,Marketing,SEO Analyst
S019,Sales Strategy,Soft Skill,85,89,4,65000,No,"Sales, Marketing",Sales Executive
S020,Kubernetes,Technical,63,75,12,135000,Yes,"IT, Cloud",Cloud Architect
S021,Blockchain,Technical,55,63,8,150000,Yes,"Finance, IT",Blockchain Developer
S022,UI/UX Design,Technical,68,72,4,82000,Yes,"IT, Product",UI/UX Designer
S023,Prompt Engineering,Technical,40,58,18,98000,No,"AI, Research",AI Prompt Engineer
S024,ChatGPT Automation,Technical,52,67,15,105000,No,"IT, AI, Marketing",AI Automation Engineer
S025,HR Analytics,Analytics,70,78,8,75000,Yes,"HR, Corporate",HR Analyst